node_id,cluster_id,is_fermion,is_boson,mean_phase,phase_spread,has_pi_winding,has_zero_winding
0,1,0,1,0.01878985208051291,0.6462723135267847,0,0
1,1,0,1,-0.022575341441573863,0.6123246618368788,0,0
2,1,0,1,-0.019035012518860587,0.6350505352873856,0,0
3,0,0,1,0.07255132290320651,0.6953901696563183,0,0
4,1,0,1,-0.03598483197455788,0.5771303625759366,0,0
5,3,1,0,-0.011535730022277712,0.6022804966964383,0,0
6,0,0,1,-0.011056689420045602,0.6738425155534133,0,0
7,0,0,1,-0.08386382071170063,0.6631543297375497,0,0
8,0,0,1,-0.008809885202824752,0.6374034076571221,0,0
9,3,1,0,-0.009188694815260311,0.6451944247176536,0,0
10,1,0,1,-0.12722171438754243,0.6307343882669576,0,0
11,1,0,1,-0.06874919498751587,0.6378691159588992,0,0
12,1,0,1,0.0698788801156523,0.5998451768940777,0,0
13,0,0,1,0.009414391815336931,0.6804525381290887,0,0
14,5,1,0,0.06762308029912595,0.717366824041653,0,0
15,0,0,1,0.03640806219564725,0.6617805763346927,0,0
16,3,1,0,0.01797153360312354,0.5773280283425484,0,0
17,4,0,0,-0.05176158821583352,0.6830846171788907,0,0
18,3,1,0,0.06593580091328129,0.6305676208804536,0,0
19,0,0,1,-0.03327578339137217,0.6434873533555667,0,0
20,3,1,0,0.024972000364884294,0.6488086347935443,0,0
21,5,1,0,0.02454297181811038,0.5957949831403047,0,0
22,0,0,1,-0.1035149965467058,0.6351993206262678,0,0
23,3,1,0,-0.011830968867286443,0.6004335017746938,0,0
24,1,0,1,0.034751646943659516,0.6659920702982911,0,0
25,1,0,1,0.06852142810016205,0.62868056146851,0,0
26,5,1,0,0.026783390011189685,0.6180158388942676,0,0
27,3,1,0,-0.011604610880122657,0.610134248066542,0,0
28,3,1,0,0.016938580020984802,0.6181360385769351,0,0
29,5,1,0,-0.03225075807880577,0.6644415758239567,0,0
30,3,1,0,0.0019060415380547687,0.6091173669692374,0,0
31,3,1,0,-0.05277531503845933,0.6496876012974875,0,0
32,1,0,1,0.006011550212346496,0.6182967247590422,0,0
33,1,0,1,-0.0023706262029764705,0.6280618438929033,0,0
34,0,0,1,0.03429032870136875,0.6964446215387601,0,0
35,1,0,1,-0.0023262239698881144,0.6238901744653409,0,0
36,1,0,1,-0.03129379014129012,0.6154525243841368,0,0
37,0,0,1,0.005643541681527319,0.6460772281561185,0,0
38,1,0,1,0.06414351477161312,0.5843599847799371,0,0
39,3,1,0,0.034654239495369,0.594498842261383,0,0
40,3,1,0,0.0031313320627390294,0.6140221525663709,0,0
41,5,1,0,0.031435771486267666,0.6070141508662059,0,0
42,0,0,1,0.002609178838958608,0.6615954187641382,0,0
43,1,0,1,-0.035253025350257615,0.6211587204803135,0,0
44,5,1,0,-0.040967277237008,0.6696550836388389,0,0
45,3,1,0,0.034290442484385036,0.5923398097433028,0,0
46,3,1,0,0.01483580683414023,0.7052057792204351,0,0
47,1,0,1,0.06667536952940495,0.619138531072829,0,0
48,3,1,0,-0.03932950975727579,0.5737663095317072,0,0
49,5,1,0,0.002535083929725713,0.60432613681074,0,0
50,3,1,0,-0.01816240159926968,0.6171970077110944,0,0
51,1,0,1,0.0009951890167499697,0.6050740080313037,0,0
52,3,1,0,-0.008428980406247809,0.691597861769113,0,0
53,3,1,0,0.004995332630930418,0.6001970960163205,0,0
54,1,0,1,-0.06416969457386597,0.6509776320043713,0,0
55,1,0,1,-0.04764671866560696,0.6180027862800004,0,0
56,1,0,1,0.036920469528655867,0.6252975496201851,0,0
57,3,1,0,0.007104900014347833,0.6401528967940697,0,0
58,0,0,1,0.01854812640839632,0.7203630665018422,0,0
59,3,1,0,-0.08547474991534497,0.6337085798114848,0,0
60,4,0,0,0.05740099532660081,0.633852403898147,0,0
61,1,0,1,-0.013857483100303079,0.6044094349156646,0,0
62,5,1,0,-0.010957975287846165,0.6255016146310551,0,0
63,3,1,0,-0.07747134439002731,0.6213772899970033,0,0
